Gender_Person1,Gender_Person2,Personality_Person1,Personality_Person2,Communication_Level,Emotional_Intelligence,Trust_Level,Common_Interests_Score,Physical_Attraction_Score,Mutual_Respect_Score,Conflict_Resolution_Skills,Love_Probability
Other,Female,Extrovert,Introvert,High,Medium,High,10,4,2,Poor,0.55
Female,Other,Ambivert,Extrovert,Low,High,High,1,2,8,Excellent,0.44
Female,Other,Ambivert,Introvert,Medium,High,High,4,5,0,Good,0.32
Male,Other,Introvert,Ambivert,High,Medium,Low,6,9,2,Excellent,0.56
Male,Male,Extrovert,Introvert,High,Low,Medium,6,10,3,Good,0.6
Male,Other,Introvert,Extrovert,High,Medium,High,3,7,5,Good,0.35
Male,Male,Introvert,Ambivert,High,Medium,Medium,4,1,4,Good,0.23
Other,Other,Extrovert,Ambivert,Low,Medium,High,1,4,2,Poor,0.19
Female,Male,Introvert,Ambivert,Medium,Medium,Low,5,6,9,Poor,0.77
Male,Female,Ambivert,Introvert,Medium,High,Low,6,0,8,Poor,0.5
Other,Other,Ambivert,Ambivert,Low,High,Medium,6,1,10,Good,0.39
Other,Female,Ambivert,Introvert,Low,Medium,Low,4,10,6,Good,0.7
Female,Other,Extrovert,Ambivert,High,High,Medium,10,6,10,Poor,0.83
Male,Other,Ambivert,Extrovert,Medium,Low,High,4,4,3,Good,0.3
Other,Other,Ambivert,Extrovert,Medium,Medium,Medium,10,3,8,Good,0.76
Other,Male,Ambivert,Introvert,Medium,Low,Low,10,9,5,Excellent,0.9
Male,Other,Extrovert,Introvert,High,High,High,0,3,7,Poor,0.43
Male,Female,Extrovert,Ambivert,Low,High,Low,6,7,6,Excellent,0.55
Male,Other,Ambivert,Introvert,High,Medium,High,2,8,7,Excellent,0.54
Other,Male,Introvert,Extrovert,High,Medium,Low,8,8,9,Good,0.87
Female,Other,Ambivert,Ambivert,Medium,Low,Medium,2,7,7,Good,0.63
Male,Other,Extrovert,Ambivert,Medium,Low,High,4,7,1,Poor,0.35
Female,Male,Extrovert,Extrovert,Medium,Low,High,2,2,3,Good,0.21
Other,Male,Ambivert,Introvert,High,Medium,Medium,5,8,7,Good,0.56
Male,Male,Extrovert,Extrovert,Low,Low,High,9,6,7,Excellent,0.61
Female,Female,Extrovert,Extrovert,Low,Low,Low,8,9,3,Good,0.75
Male,Female,Extrovert,Extrovert,High,Medium,Medium,10,10,6,Poor,1.0
Male,Female,Introvert,Ambivert,Low,High,Medium,9,9,10,Excellent,0.93
Male,Other,Extrovert,Introvert,Medium,High,High,4,6,5,Excellent,0.6
Female,Female,Extrovert,Extrovert,Medium,Medium,Medium,1,7,0,Poor,0.3
Other,Male,Extrovert,Introvert,Low,High,Low,0,0,3,Excellent,0.04
Male,Other,Introvert,Introvert,High,Medium,Low,1,9,3,Good,0.47
Other,Female,Extrovert,Introvert,Low,Low,Low,1,2,4,Excellent,0.39
Other,Male,Extrovert,Ambivert,Low,Medium,Medium,3,1,9,Poor,0.43
Other,Male,Introvert,Ambivert,Medium,Low,Low,1,9,0,Good,0.49
Other,Female,Ambivert,Extrovert,High,Low,Low,5,0,6,Good,0.1
Male,Female,Extrovert,Ambivert,Medium,Low,High,6,2,8,Poor,0.62
Female,Other,Ambivert,Extrovert,Medium,Medium,Low,9,4,5,Excellent,0.61
Male,Female,Extrovert,Introvert,Medium,Low,Low,10,6,5,Excellent,0.67
Female,Female,Introvert,Extrovert,High,Medium,Medium,5,4,9,Poor,0.61
Female,Other,Introvert,Ambivert,High,High,High,6,7,8,Excellent,0.5
Other,Female,Ambivert,Ambivert,Medium,Medium,High,1,4,3,Good,0.24
Other,Male,Extrovert,Ambivert,Low,Medium,Medium,8,8,5,Good,0.74
Other,Other,Extrovert,Extrovert,Low,Medium,Medium,4,4,3,Excellent,0.51
Other,Male,Extrovert,Introvert,Low,Low,Low,2,3,3,Poor,0.21
Female,Female,Ambivert,Ambivert,Low,Low,Medium,1,3,4,Excellent,0.19
Female,Male,Extrovert,Introvert,Low,Low,High,4,0,0,Poor,0.08
Female,Other,Introvert,Ambivert,Medium,High,High,9,4,7,Good,0.76
Female,Female,Introvert,Introvert,Medium,Medium,High,1,6,7,Excellent,0.5
Other,Other,Ambivert,Introvert,High,High,Low,4,1,3,Excellent,0.21
Other,Female,Ambivert,Ambivert,Low,High,Low,6,7,7,Good,0.72
Other,Female,Extrovert,Ambivert,Low,High,Low,1,3,10,Excellent,0.48
Female,Other,Introvert,Introvert,High,High,Low,1,2,0,Good,0.2
Female,Other,Ambivert,Extrovert,Medium,High,High,4,4,7,Excellent,0.43
Other,Male,Extrovert,Ambivert,Low,Low,High,6,1,8,Excellent,0.47
Other,Male,Extrovert,Introvert,High,High,High,4,9,9,Good,0.69
Female,Male,Extrovert,Ambivert,Medium,Low,Medium,4,8,8,Good,0.52
Female,Male,Ambivert,Introvert,Medium,Low,Medium,9,4,0,Excellent,0.46
Male,Other,Ambivert,Ambivert,High,Low,Medium,9,0,2,Good,0.39
Other,Other,Extrovert,Extrovert,High,Low,Medium,10,7,1,Good,0.6
Female,Female,Extrovert,Extrovert,Low,High,High,5,6,7,Good,0.58
Other,Female,Ambivert,Introvert,Medium,High,Medium,4,5,1,Good,0.19
Other,Male,Ambivert,Ambivert,Medium,Medium,High,3,8,5,Poor,0.49
Female,Other,Extrovert,Introvert,High,Medium,Low,2,4,7,Poor,0.4
Female,Male,Introvert,Ambivert,Low,High,Low,2,4,8,Excellent,0.39
Other,Female,Introvert,Introvert,High,Medium,High,10,2,7,Poor,0.62
Female,Other,Ambivert,Extrovert,Medium,Medium,Medium,3,7,8,Excellent,0.64
Female,Male,Ambivert,Ambivert,Low,High,High,4,6,5,Poor,0.69
Female,Male,Extrovert,Ambivert,Medium,Low,Low,10,7,2,Good,0.65
Other,Female,Extrovert,Extrovert,Low,Low,Medium,7,5,3,Poor,0.53
Male,Other,Extrovert,Introvert,Medium,High,Medium,7,6,6,Poor,0.63
Other,Male,Extrovert,Introvert,High,Low,Low,5,1,7,Excellent,0.24
Other,Female,Introvert,Ambivert,High,Medium,Low,2,1,7,Good,0.33
Female,Other,Ambivert,Extrovert,Low,High,Medium,10,8,6,Good,0.81
Other,Other,Extrovert,Ambivert,High,Low,High,3,10,10,Good,1.0
Male,Other,Introvert,Extrovert,High,Low,Low,1,7,2,Poor,0.31
Female,Male,Introvert,Extrovert,High,Medium,Medium,5,6,2,Excellent,0.46
Other,Female,Ambivert,Ambivert,High,High,High,1,9,6,Poor,0.53
Other,Male,Extrovert,Ambivert,High,High,Medium,10,4,7,Good,0.58
Other,Male,Extrovert,Extrovert,Low,Low,High,1,7,5,Poor,0.55
Female,Other,Extrovert,Ambivert,Medium,Medium,Medium,3,6,7,Excellent,0.61
Male,Female,Ambivert,Extrovert,Low,Medium,Low,4,0,10,Good,0.55
Female,Male,Ambivert,Ambivert,Low,High,Low,7,4,3,Poor,0.38
Female,Male,Ambivert,Introvert,Low,Medium,Low,10,10,2,Poor,0.87
Male,Other,Ambivert,Introvert,Medium,Medium,High,9,5,2,Excellent,0.39
Female,Female,Ambivert,Extrovert,High,High,High,8,5,8,Poor,0.76
Female,Male,Extrovert,Extrovert,Medium,Low,Medium,1,7,1,Excellent,0.52
Male,Other,Ambivert,Ambivert,Medium,Low,Medium,1,6,0,Good,0.13
Other,Male,Extrovert,Extrovert,Low,Low,Low,4,9,6,Poor,0.58
Female,Male,Ambivert,Introvert,Medium,High,Low,8,5,9,Excellent,0.74
Other,Male,Ambivert,Extrovert,Low,Medium,Low,6,1,2,Excellent,0.25
Male,Female,Extrovert,Introvert,High,High,Low,2,6,7,Good,0.34
Other,Other,Ambivert,Ambivert,Medium,Low,Low,2,6,10,Excellent,0.61
Female,Other,Extrovert,Extrovert,High,Low,Medium,3,7,7,Excellent,0.46
Female,Male,Ambivert,Extrovert,Low,Low,Medium,0,6,4,Excellent,0.38
Male,Female,Introvert,Ambivert,High,Low,Low,9,0,0,Good,0.21
Male,Male,Ambivert,Introvert,High,Low,High,9,3,3,Good,0.65
Male,Other,Introvert,Extrovert,High,High,Low,4,2,1,Poor,0.16
Male,Male,Introvert,Extrovert,High,Low,Medium,0,2,4,Excellent,0.17
Male,Other,Extrovert,Ambivert,High,Low,High,7,7,5,Poor,0.71
Other,Male,Extrovert,Ambivert,High,Low,High,10,8,4,Good,0.61
Other,Male,Introvert,Extrovert,Medium,Medium,Low,1,7,7,Excellent,0.52
Male,Female,Ambivert,Introvert,High,High,Medium,9,10,9,Poor,1.0
Other,Female,Extrovert,Ambivert,Low,Medium,Medium,8,9,6,Excellent,0.61
Other,Male,Ambivert,Ambivert,Low,Low,High,6,7,3,Good,0.55
Female,Female,Extrovert,Extrovert,Low,High,Medium,6,5,10,Good,0.73
Female,Male,Ambivert,Extrovert,High,High,High,1,6,1,Poor,0.34
Other,Female,Introvert,Ambivert,High,Low,Low,8,5,10,Excellent,0.64
Female,Female,Ambivert,Extrovert,Low,High,Medium,9,4,5,Excellent,0.47
Other,Other,Introvert,Introvert,Low,Medium,High,1,5,8,Good,0.52
Male,Female,Ambivert,Introvert,Medium,Low,Low,9,10,10,Poor,1.0
Male,Other,Ambivert,Ambivert,Medium,High,High,4,4,5,Good,0.46
Male,Male,Introvert,Ambivert,Low,Medium,High,2,10,0,Excellent,0.43
Other,Other,Introvert,Extrovert,Medium,Medium,Medium,2,5,4,Poor,0.3
Female,Other,Ambivert,Introvert,High,High,High,9,0,10,Excellent,0.66
Female,Female,Ambivert,Extrovert,Medium,Low,Medium,6,4,3,Poor,0.46
Male,Female,Extrovert,Introvert,Medium,Low,Low,9,7,8,Poor,0.73
Female,Male,Introvert,Extrovert,Low,High,High,3,4,3,Excellent,0.52
Female,Female,Extrovert,Introvert,High,Medium,Low,6,2,2,Good,0.38
Other,Other,Introvert,Ambivert,Low,Low,Medium,1,6,0,Good,0.11
Male,Female,Introvert,Extrovert,Low,Medium,Low,6,10,6,Good,0.8
Male,Female,Introvert,Extrovert,High,Low,Medium,5,1,6,Excellent,0.3
Male,Female,Ambivert,Extrovert,Low,High,Medium,4,5,3,Good,0.48
Male,Male,Ambivert,Ambivert,High,Low,Low,3,5,5,Poor,0.55
Other,Male,Introvert,Introvert,High,Medium,High,2,9,2,Poor,0.35
Male,Male,Ambivert,Extrovert,Medium,Low,Low,7,10,9,Poor,0.96
Other,Other,Extrovert,Ambivert,Medium,High,Medium,1,7,7,Poor,0.54
Female,Female,Ambivert,Introvert,Medium,Low,High,4,7,7,Excellent,0.68
Male,Female,Extrovert,Introvert,Low,High,Low,9,8,6,Good,0.96
Other,Other,Ambivert,Introvert,Medium,Low,Low,3,5,9,Good,0.54
Other,Male,Introvert,Extrovert,High,Medium,Low,1,8,10,Excellent,0.56
Male,Male,Ambivert,Extrovert,Medium,Low,Low,9,2,5,Good,0.44
Female,Female,Extrovert,Extrovert,Low,Low,High,10,10,5,Excellent,0.75
Female,Male,Ambivert,Ambivert,Medium,Medium,Medium,10,9,2,Good,0.69
Male,Other,Ambivert,Introvert,Medium,Medium,Low,10,6,2,Poor,0.63
Other,Male,Extrovert,Ambivert,Medium,Low,Medium,2,10,10,Poor,0.76
Male,Other,Ambivert,Extrovert,Low,Medium,High,5,4,2,Excellent,0.45
Female,Female,Introvert,Introvert,High,High,High,4,1,8,Poor,0.43
Other,Other,Introvert,Ambivert,Medium,Low,High,9,6,2,Excellent,0.71
Male,Other,Ambivert,Introvert,Low,Medium,High,6,5,10,Poor,0.67
Male,Female,Ambivert,Extrovert,Low,Medium,High,8,3,4,Good,0.77
Male,Female,Ambivert,Ambivert,Medium,Medium,Medium,6,8,8,Good,0.8
Male,Male,Ambivert,Introvert,Medium,High,Low,7,5,8,Excellent,0.58
Other,Other,Introvert,Extrovert,High,High,Medium,7,8,2,Good,0.46
Male,Male,Extrovert,Extrovert,High,Medium,High,6,8,5,Excellent,0.68
Female,Male,Extrovert,Introvert,High,Medium,High,10,5,2,Excellent,0.54
Male,Female,Extrovert,Ambivert,High,Low,Medium,7,9,0,Excellent,0.6
Male,Female,Introvert,Introvert,Low,Low,Low,8,6,1,Good,0.55
Male,Female,Introvert,Introvert,High,Medium,Low,9,7,1,Excellent,0.56
Female,Other,Ambivert,Introvert,Low,Low,Low,3,2,4,Good,0.22
Male,Other,Extrovert,Introvert,Low,Medium,High,10,10,1,Poor,0.55
Female,Male,Ambivert,Ambivert,Low,Low,Low,0,6,7,Excellent,0.39
Other,Female,Extrovert,Extrovert,Low,High,Medium,1,5,3,Poor,0.39
Other,Other,Introvert,Ambivert,Low,Medium,High,0,5,8,Good,0.45
Other,Male,Ambivert,Extrovert,Low,Medium,Low,2,2,1,Poor,0.04
Female,Male,Extrovert,Introvert,High,High,High,5,4,8,Good,0.58
Other,Female,Extrovert,Introvert,Low,High,Medium,5,0,10,Good,0.54
Female,Male,Extrovert,Extrovert,Medium,Low,Medium,6,5,2,Good,0.34
Other,Female,Extrovert,Ambivert,Medium,High,Low,6,1,6,Poor,0.45
Male,Other,Extrovert,Extrovert,High,High,Medium,10,4,4,Good,0.61
Other,Other,Extrovert,Introvert,Low,Medium,Medium,7,0,5,Poor,0.29
Female,Female,Ambivert,Introvert,High,Low,Low,6,5,8,Poor,0.67
Other,Male,Introvert,Introvert,Low,Low,Medium,0,2,1,Excellent,0.16
Other,Female,Extrovert,Extrovert,Low,High,Low,2,10,7,Good,0.74
Female,Female,Introvert,Ambivert,High,Low,Medium,6,5,10,Good,0.81
Male,Male,Introvert,Ambivert,High,Medium,Low,6,8,1,Good,0.36
Female,Other,Extrovert,Introvert,Low,Medium,Low,7,3,1,Excellent,0.27
Male,Female,Introvert,Ambivert,Medium,High,Low,5,10,5,Poor,0.72
Male,Other,Ambivert,Extrovert,Medium,High,Low,10,2,5,Poor,0.62
Male,Male,Introvert,Introvert,High,Medium,High,5,8,9,Good,0.78
Female,Other,Introvert,Ambivert,High,High,Medium,6,7,8,Good,1.0
Female,Other,Introvert,Introvert,Medium,Low,High,7,7,10,Poor,0.86
Female,Male,Ambivert,Ambivert,Low,High,High,6,8,0,Excellent,0.58
Other,Male,Extrovert,Introvert,High,Medium,Low,3,5,8,Good,0.63
Male,Female,Introvert,Ambivert,Low,Medium,High,10,4,9,Poor,0.83
Male,Other,Ambivert,Introvert,Low,Low,High,2,10,9,Poor,0.67
Other,Female,Ambivert,Introvert,High,High,High,10,9,4,Poor,0.84
Male,Other,Extrovert,Ambivert,Low,High,Medium,10,8,4,Poor,0.66
Female,Female,Introvert,Ambivert,Medium,Medium,Medium,1,0,2,Good,0.08
Female,Female,Extrovert,Introvert,Medium,Low,High,5,5,5,Good,0.45
Male,Female,Ambivert,Ambivert,High,Medium,High,7,1,4,Good,0.41
Male,Male,Introvert,Introvert,Medium,Medium,Low,6,3,2,Good,0.6
Other,Other,Extrovert,Introvert,High,Medium,Low,7,7,4,Good,0.41
Male,Male,Extrovert,Ambivert,Medium,High,High,9,5,0,Excellent,0.54
Female,Female,Ambivert,Ambivert,Low,Medium,Medium,8,0,1,Good,0.14
Male,Female,Ambivert,Extrovert,Medium,Medium,High,6,0,9,Poor,0.45
Male,Female,Ambivert,Extrovert,High,Medium,Low,7,8,4,Poor,0.74
Other,Other,Introvert,Introvert,High,Medium,Medium,5,8,5,Excellent,0.61
Male,Other,Ambivert,Extrovert,Low,High,High,0,2,5,Good,0.13
Other,Female,Introvert,Ambivert,Low,High,Medium,9,5,2,Good,0.46
Other,Other,Extrovert,Ambivert,Medium,Low,Low,8,7,9,Good,0.87
Female,Male,Extrovert,Extrovert,Low,High,Medium,9,4,10,Excellent,0.69
Other,Female,Extrovert,Ambivert,Low,Low,High,0,9,7,Excellent,0.55
Other,Other,Ambivert,Ambivert,Medium,High,Low,3,0,9,Poor,0.4
Male,Male,Introvert,Extrovert,Medium,Medium,High,6,3,6,Poor,0.43
Other,Female,Ambivert,Ambivert,High,Low,High,8,3,8,Good,0.85
Other,Female,Ambivert,Extrovert,Medium,High,Medium,8,5,8,Good,0.76
Other,Other,Ambivert,Ambivert,Low,Medium,Low,7,3,3,Good,0.23
Other,Female,Introvert,Extrovert,Medium,Low,High,7,5,7,Good,0.65
Other,Other,Extrovert,Extrovert,High,Low,Low,8,6,6,Good,0.6
Male,Female,Introvert,Extrovert,Low,High,Medium,7,10,4,Poor,0.79
Female,Male,Introvert,Ambivert,Medium,Low,Low,4,2,1,Poor,0.15
Other,Other,Introvert,Introvert,High,Low,Low,3,10,3,Excellent,0.52
Male,Female,Extrovert,Ambivert,Medium,High,Low,2,0,8,Excellent,0.38
Female,Other,Extrovert,Extrovert,Low,High,Medium,5,4,10,Excellent,0.72
Male,Other,Ambivert,Introvert,Low,Low,Low,0,2,6,Excellent,0.15
Male,Female,Extrovert,Introvert,Low,Medium,High,0,4,9,Poor,0.4
Male,Female,Extrovert,Extrovert,Low,Low,Low,7,2,8,Good,0.52
Female,Male,Introvert,Extrovert,High,Low,Medium,10,4,2,Excellent,0.47
Other,Female,Extrovert,Ambivert,Low,High,High,9,10,6,Good,1.0
Other,Female,Introvert,Extrovert,Low,High,High,2,7,5,Excellent,0.51
Male,Female,Extrovert,Introvert,Medium,Medium,Medium,4,9,9,Excellent,0.61
Female,Other,Extrovert,Ambivert,High,High,Low,1,7,4,Excellent,0.49
Female,Other,Ambivert,Ambivert,Medium,Low,High,10,4,5,Poor,0.85
Male,Male,Introvert,Extrovert,High,Medium,Low,9,5,6,Poor,0.77
Other,Female,Ambivert,Ambivert,High,High,Low,9,1,8,Good,0.45
Other,Other,Extrovert,Introvert,Low,High,High,8,8,3,Poor,0.58
Other,Male,Introvert,Extrovert,Low,Medium,High,10,3,9,Good,0.86
Male,Other,Extrovert,Introvert,Medium,High,Low,6,7,9,Excellent,0.66
Other,Female,Ambivert,Extrovert,Low,High,Medium,4,0,3,Poor,0.28
Male,Male,Extrovert,Extrovert,Low,High,Low,0,1,7,Excellent,0.34
Female,Female,Introvert,Introvert,Low,Low,Low,6,5,6,Good,0.47
Female,Female,Introvert,Ambivert,Low,Low,High,10,5,1,Excellent,0.53
Other,Female,Ambivert,Introvert,Low,High,High,0,4,7,Poor,0.04
Other,Other,Extrovert,Ambivert,Medium,High,High,7,5,2,Good,0.36
Male,Other,Introvert,Introvert,Low,Medium,Low,0,3,3,Excellent,0.17
Male,Other,Introvert,Extrovert,Low,Low,Low,0,3,0,Good,-0.02
Female,Male,Ambivert,Introvert,High,High,Low,4,3,9,Good,0.7
Other,Other,Ambivert,Extrovert,High,Medium,High,10,8,3,Good,0.56
Female,Female,Introvert,Ambivert,Low,Low,High,10,10,6,Poor,0.82
Female,Male,Extrovert,Ambivert,Low,Medium,Low,5,6,6,Excellent,0.58
Female,Female,Introvert,Ambivert,Medium,High,High,4,2,7,Excellent,0.58
Other,Female,Extrovert,Ambivert,Low,High,Medium,3,4,3,Good,0.19
Other,Male,Extrovert,Extrovert,High,Low,Low,3,0,4,Good,0.35
Other,Other,Ambivert,Introvert,High,High,Low,10,8,3,Good,0.7
Male,Female,Extrovert,Introvert,High,High,Low,1,7,3,Poor,0.27
Other,Other,Introvert,Extrovert,High,Low,Medium,4,6,7,Poor,0.61
Other,Female,Extrovert,Extrovert,Medium,Low,Medium,7,1,7,Good,0.52
Male,Female,Extrovert,Extrovert,High,Low,High,2,0,4,Poor,0.14
Other,Other,Ambivert,Extrovert,Medium,High,High,5,3,6,Poor,0.47
Male,Female,Ambivert,Ambivert,Low,Medium,Medium,7,10,7,Good,0.76
Male,Other,Extrovert,Introvert,High,Low,Low,7,2,8,Poor,0.58
Male,Other,Introvert,Introvert,Low,High,High,6,2,10,Excellent,0.67
Male,Other,Introvert,Introvert,High,Low,Medium,5,0,9,Poor,0.63
Other,Other,Extrovert,Ambivert,Medium,High,High,8,8,6,Excellent,0.61
Male,Other,Ambivert,Extrovert,Low,Medium,High,8,10,6,Excellent,1.0
Male,Male,Ambivert,Introvert,High,High,Low,8,4,5,Good,0.37
Female,Male,Extrovert,Extrovert,Medium,Low,High,3,4,10,Excellent,0.55
Other,Other,Introvert,Introvert,Medium,Medium,Medium,8,7,0,Poor,0.56
Male,Other,Introvert,Introvert,Medium,Medium,Low,5,9,1,Poor,0.53
Male,Male,Introvert,Ambivert,Low,Medium,Medium,0,1,10,Good,0.3
Other,Other,Ambivert,Introvert,High,Medium,High,3,9,2,Poor,0.45
Female,Male,Extrovert,Introvert,Low,High,Low,6,10,8,Good,0.75
Female,Other,Introvert,Ambivert,Low,High,Low,5,0,1,Good,0.14
Male,Male,Extrovert,Ambivert,Low,Low,Medium,5,0,10,Good,0.58
Female,Female,Introvert,Extrovert,Low,Medium,Medium,2,10,9,Poor,0.74
Female,Male,Ambivert,Extrovert,High,Low,High,1,4,2,Good,0.16
Other,Other,Introvert,Ambivert,Medium,Medium,Medium,1,1,0,Good,0.16
Female,Female,Extrovert,Introvert,High,High,High,6,7,8,Poor,0.73
Other,Female,Introvert,Introvert,High,Medium,Low,1,9,9,Good,0.71
Female,Male,Extrovert,Extrovert,Medium,High,Low,8,3,9,Poor,0.73
Male,Other,Extrovert,Introvert,High,Medium,Medium,4,7,2,Excellent,0.35
Male,Female,Extrovert,Extrovert,Medium,Medium,High,5,4,3,Poor,0.34
Other,Female,Ambivert,Ambivert,High,Medium,High,2,4,0,Good,0.27
Female,Other,Extrovert,Extrovert,Medium,Medium,Medium,10,9,2,Good,0.76
Female,Other,Ambivert,Introvert,Medium,Medium,High,6,5,4,Poor,0.5
Other,Other,Extrovert,Ambivert,High,Medium,Medium,4,6,5,Excellent,0.51
Other,Male,Ambivert,Ambivert,High,Low,Low,0,7,3,Good,0.46
Female,Other,Introvert,Extrovert,Low,Medium,High,10,4,3,Good,0.51
Other,Male,Ambivert,Extrovert,Medium,High,Medium,9,7,9,Good,0.89
Other,Other,Ambivert,Extrovert,Low,High,Medium,8,9,10,Excellent,0.88
Male,Male,Ambivert,Ambivert,Medium,High,Low,9,0,9,Poor,0.58
Other,Other,Extrovert,Extrovert,Medium,High,High,1,4,3,Poor,0.38
Other,Other,Ambivert,Ambivert,Low,Low,High,7,5,6,Good,0.68
Other,Other,Ambivert,Ambivert,High,Medium,High,7,1,4,Good,0.48
Male,Male,Ambivert,Introvert,Medium,Medium,Medium,7,3,8,Good,0.73
Female,Female,Introvert,Extrovert,Low,Low,Medium,5,1,4,Excellent,0.34
Other,Male,Introvert,Extrovert,Low,High,Low,2,3,8,Excellent,0.5
Other,Male,Extrovert,Ambivert,Medium,Medium,High,6,10,2,Excellent,0.57
Other,Other,Extrovert,Extrovert,High,Low,Low,3,7,9,Good,0.67
Female,Male,Ambivert,Introvert,High,Medium,Low,1,9,1,Poor,0.35
Male,Female,Extrovert,Introvert,Medium,High,Medium,10,7,8,Poor,0.84
Female,Other,Extrovert,Ambivert,Medium,Low,High,5,5,7,Poor,0.63
Male,Other,Ambivert,Extrovert,Low,Low,High,10,2,5,Excellent,0.48
Male,Female,Introvert,Introvert,Medium,Low,High,8,6,6,Poor,0.88
Male,Other,Extrovert,Extrovert,High,Medium,Low,8,10,2,Poor,0.57
Male,Female,Extrovert,Introvert,High,Medium,Medium,9,0,5,Excellent,0.35
Female,Male,Introvert,Extrovert,Low,Low,Low,7,6,10,Good,0.88
Female,Other,Extrovert,Extrovert,High,High,Low,0,3,4,Excellent,0.31
Female,Male,Ambivert,Extrovert,High,Medium,Low,7,8,8,Excellent,0.83
Other,Male,Extrovert,Ambivert,Medium,Low,High,7,8,3,Good,0.66
Male,Other,Ambivert,Introvert,Medium,High,Medium,4,5,1,Good,0.33
Male,Male,Introvert,Ambivert,Low,Low,Medium,9,10,6,Excellent,0.74
Other,Male,Introvert,Introvert,High,Low,Medium,8,4,9,Poor,0.71
Male,Female,Ambivert,Extrovert,Medium,Low,Medium,8,10,1,Excellent,0.57
Female,Male,Extrovert,Ambivert,High,Low,High,3,2,5,Excellent,0.43
Other,Female,Extrovert,Introvert,Low,Low,Medium,10,6,6,Good,0.72
Male,Other,Introvert,Extrovert,Low,Low,Medium,5,7,7,Good,0.55
Other,Male,Ambivert,Introvert,Low,Medium,Low,10,5,1,Poor,0.5
Female,Male,Extrovert,Introvert,Medium,Medium,Medium,4,5,8,Poor,0.61
Male,Other,Extrovert,Extrovert,Low,High,High,1,10,7,Excellent,0.54
Male,Male,Extrovert,Extrovert,High,Medium,High,2,10,4,Excellent,0.45
